participant_id,session_id,block,trial_idx_in_block,trial_idx_global,question_id,question_type,question_id_matches_trigger,question_start_time,answer_time,answer_latency_sec,epoch_start_time,epoch_end_time,baseline_start_time,baseline_end_time,full_epoch_available,baseline_available,front_hbo_n_channels,back_hbo_n_channels,front_hbr_n_channels,back_hbr_n_channels,included_step5_trial,exclusion_reason_code,exclusion_reason_detail,source_log
PID004,2025-11-11_004,C2,3,6,2018_CH_77,Concrete,True,855.494456,906.313632,50.81917599999997,851.994456,868.6944560000001,853.494456,855.494456,True,True,5,5,5,5,True,,,enem_blocks_pid004_20251111_154532.csv
PID004,2025-11-11_004,C3,1,7,2020_CH_82,Concrete,True,1087.459792,1139.244626,51.78483399999982,1083.959792,1100.6597920000002,1085.459792,1087.459792,True,True,5,5,5,5,True,,,enem_blocks_pid004_20251111_154532.csv
PID004,2025-11-11_004,C3,2,8,2018_LC_44,Concrete,True,1143.075156,1259.224034,116.14887799999997,1139.575156,1156.2751560000002,1141.075156,1143.075156,True,True,5,5,5,5,True,,,enem_blocks_pid004_20251111_154532.csv
PID004,2025-11-11_004,C3,3,9,2020_CH_84,Concrete,True,1263.575496,1343.011911,79.43641500000012,1260.075496,1276.775496,1261.575496,1263.575496,True,True,5,5,5,5,True,,,enem_blocks_pid004_20251111_154532.csv
PID004,2025-11-11_004,C4,1,10,2020_CH_56,Concrete,True,1509.818184,1600.521631,90.7034470000001,1506.318184,1523.018184,1507.818184,1509.818184,True,True,5,5,5,5,True,,,enem_blocks_pid004_20251111_154532.csv
PID004,2025-11-11_004,C4,2,11,2021_CH_46,Concrete,True,1604.514616,1669.59349,65.07887400000004,1601.014616,1617.714616,1602.514616,1604.514616,True,True,5,5,5,5,True,,,enem_blocks_pid004_20251111_154532.csv
PID004,2025-11-11_004,C4,3,12,2020_CH_70,Concrete,True,1673.550907,1768.362211,94.81130399999984,1670.050907,1686.750907,1671.550907,1673.550907,True,True,5,5,5,5,True,,,enem_blocks_pid004_20251111_154532.csv
PID004,2025-11-11_004,C5,1,13,2017_CH_68,Concrete,True,1930.175266,2014.590902,84.41563599999995,1926.675266,1943.375266,1928.175266,1930.175266,True,True,5,5,5,5,True,,,enem_blocks_pid004_20251111_154532.csv
PID004,2025-11-11_004,C5,2,14,2017_CH_47,Concrete,True,2018.842467,2069.464072,50.62160500000027,2015.342467,2032.042467,2016.842467,2018.842467,True,True,5,5,5,5,True,,,enem_blocks_pid004_20251111_154532.csv
PID004,2025-11-11_004,C5,3,15,2020_CH_78,Concrete,True,2073.56062,2137.122203,63.5615829999997,2070.06062,2086.76062,2071.56062,2073.56062,True,True,5,5,5,5,True,,,enem_blocks_pid004_20251111_154532.csv
