participant_id,participant_folder,timestamp_raw,timestamp_iso,source_log,source_log_full_path,phase,block,trial_idx_in_block,question_number,question_year,question_field,question_type_log,t_abs,rt_from_phase,choice,correct_raw,button_click_time,option_view_time,marker_name,marker_code,note
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,q_options_on,A4,3,76,2020,CH,abstract,1925.434244,6.629999552387744e-05,,,,,Q_OPTIONS_ON,15,
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,answer,A4,3,76,2020,CH,abstract,1974.455418,49.02123969999957,B,,,49.021226,ANS_B,22,
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,block_end,A4,-1,,,,,2082.494445,,,,,,BLK_OFF,92,A4 end (actual 420.0s)
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,block_start,A5,-1,,,,,2084.780811,,,,,,BLK_ON,91,A5 start (target 420s)
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,iti,A5,1,83,2021,CH,abstract,2088.361813,3.5808773999888217,,,,,ITI,99,ITI duration: 3.57s
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,q_text_on,A5,1,83,2021,CH,abstract,2088.416583,9.039998985826969e-05,,,,,Q_TEXT_ON,11,
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,q_stem_on,A5,1,83,2021,CH,abstract,2148.243842,5.9600002714432776e-05,,,,,Q_STEM_ON,14,
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,q_options_on,A5,1,83,2021,CH,abstract,2157.974701,6.510000093840063e-05,,,,,Q_OPTIONS_ON,15,
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,answer,A5,1,83,2021,CH,abstract,2181.455205,23.480569099992863,B,,,23.480556,ANS_B,22,
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,iti,A5,2,56,2019,CH,abstract,2185.279743,3.316200500004925,,,,,ITI,99,ITI duration: 3.30s
